,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes
83,MyCiti Bus Station Granger Bay,836,Bus Station,-33.90444302458882,18.414753445707337,4dda6d311838b8561d2f8f22,Atlantic Seaboard,0
84,The Ring Boxing Club,994,Gym / Fitness Center,-33.905889,18.398865,515e5278e4b05bf8813cb471,Atlantic Seaboard,0
0,Ashley's,612,Diner,-33.91162392300551,18.552042018294113,4bf90e4c5ec320a1aea789d3,Goodwood,20
1,Grand West Hotel,733,Hotel,-33.91245982452779,18.545374395145846,4cea99ce948f224bc05efc5d,Goodwood,1
2,Tomahawk Spur,732,Steakhouse,-33.91250095793893,18.545507736215992,4d8b8e627139b1f74eb3e2d4,Goodwood,1
3,KFC,652,Fast Food Restaurant,-33.9124,18.5477,4ec2a75146901113fe4d590e,Goodwood,1
4,Goodwood Sports Club,228,Cricket Ground,-33.904781138504504,18.54819775802311,4c26146f5c5ca593ff6a45fe,Goodwood,1
5,KFC,647,Fast Food Restaurant,-33.91231861899807,18.547489098495337,4dcaade3fa7684db0906a2e1,Goodwood,1
6,Debonairs Pizza,638,Pizza Place,-33.912401308406984,18.549417930413483,4ddd415322713339cd28b719,Goodwood,2
7,Simply Asia,746,Thai Restaurant,-33.91263981265898,18.54548454646108,4de8ae1d1f6e9b5377122333,Goodwood,0
8,Goodwood Mall,747,Shopping Mall,-33.91261875856669,18.545420350441663,4c7d1f353e90a1cdb75544be,Goodwood,2
9,Magic Bowling,747,Bowling Alley,-33.91262854167082,18.545443964393613,4d84a21c5ad3a0935027d3fd,Goodwood,4
